"Time",1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
"Bup providers",0,0,0,0,1893,3256,5484,8555.5,10637,14365.3,15817.5,18023.5,20148,22198,23629,25738,28930.5,32123,42037,57426.5,66800,94223,111716,127792,144479,158835,170811,177131,181576,184637,186716,188113,189047,189667
"Cumulative nonfatal overdoses",0,331370,704141,1.1168E+06,1.57098E+06,2.06836E+06,2.60885E+06,3.1911E+06,3.81591E+06,4.48641E+06,5.20162E+06,5.95983E+06,6.75743E+06,7.5829E+06,8.42933E+06,9.28924E+06,1.01583E+07,1.10385E+07,1.19307E+07,1.28178E+07,1.36859E+07,1.45373E+07,1.53697E+07,1.61636E+07,1.69149E+07,1.76211E+07,1.82821E+07,1.89021E+07,1.94904E+07,2.00507E+07,2.05852E+07,2.10956E+07,2.15844E+07,2.20546E+07
"Cumulative overdose deaths",0,10350.3,21796.8,34265.1,47823.7,62529.7,78354.9,95315.2,113558,133105,153786,175631,198532,222261,246618,271938,299455,332055,373400,422737,476507,535336,598511,662007,724730,785664,844108,899978,953908,1.00594E+06,1.05604E+06,1.10418E+06,1.15048E+06,1.19519E+06
"Cumulative UD person years",0,1.50164E+06,3.19272E+06,5.06197E+06,7.10986E+06,9.34404E+06,1.17681E+07,1.43828E+07,1.71967E+07,2.02256E+07,2.3474E+07,2.69371E+07,3.06073E+07,3.44598E+07,3.84595E+07,4.25659E+07,4.67442E+07,5.09622E+07,5.51822E+07,5.9347E+07,6.34169E+07,6.73754E+07,7.1213E+07,7.49015E+07,7.84296E+07,8.17929E+07,8.49929E+07,8.80382E+07,9.09448E+07,9.37237E+07,9.63837E+07,9.89332E+07,1.0138E+08,1.03735E+08
"HUD by MOUD[Bup]",0,0,0,0,3758.86,10476,23532.2,44484,64960.7,94766.2,116934,143108,170825,205564,235694,268431,307322,347742,409960,469739,504417,543482,564316,576448,592373,606567,619014,598903,567575,537590,509330,482508,458493,439058
"HUD by MOUD[MMT]",183230,135009,153593,173117,174911,184155,180667,196008,199409,202850,213400,225738,231706,237428,252445,264284,275877,269850,297665,310141,321027,251459,284172,322134,354381,379970,399167,413045,422924,429774,434410,437472,431594,418261
"HUD by MOUD[Viv]",0,0,0,0,0,0,0,0,0,0,0,121.178,456.014,998.988,1669.72,2504.66,4248.28,8104.11,11873.7,14139.7,15356.4,14459.6,15485.1,16518.4,17310.2,17858.4,18185.5,18482.9,18775.9,18968.8,19069.8,19092.5,19102,19121.2
"HUD in remission",199161,146849,124566,117860,118010,121346,126940,135467,146451,158777,173163,189375,207233,230238,255005,279986,305768,332673,362171,393141,418691,433551,441556,450304,456745,460097,460763,458224,450995,440895,429387,417247,404623,391326
"HUD in stable remission",225182,240841,252580,262786,272609,282521,292814,303708,315535,328432,342588,358180,375379,394483,415899,439680,465839,494488,525719,559846,596636,635279,674638,714552,754935,795486,835907,875924,915112,953078,989617,1.02464E+06,1.0581E+06,1.08996E+06
"HUD no MOUD",447089,565480,594191,614930,648907,672412,712413,730038,760366,793591,843290,894656,985032,1.13103E+06,1.21883E+06,1.30269E+06,1.39044E+06,1.49289E+06,1.50624E+06,1.49157E+06,1.46416E+06,1.48485E+06,1.39714E+06,1.29341E+06,1.18078E+06,1.07102E+06,966829,900332,851639,806928,764593,724227,692049,665133
"Nondisordered heroin use",428255,375937,354503,365564,386695,400977,435821,471586,493864,530034,579659,618764,666334,731517,755971,750289,746356,750734,733687,689013,629564,566990,506947,453338,407734,370155,339688,315252,295886,280646,268711,259397,252156,246556
"Rx misuse no PY heroin",6.41519E+06,7.33092E+06,8.12699E+06,8.76885E+06,9.20415E+06,9.49036E+06,9.60903E+06,9.63718E+06,9.64767E+06,9.62209E+06,9.52186E+06,9.35582E+06,9.10553E+06,8.73673E+06,8.29675E+06,7.8194E+06,7.34096E+06,6.86541E+06,6.3435E+06,5.71021E+06,5.0134E+06,4.37172E+06,3.81961E+06,3.33644E+06,2.92365E+06,2.58529E+06,2.3216E+06,2.1266E+06,1.98951E+06,1.90082E+06,1.85197E+06,1.83553E+06,1.84525E+06,1.87579E+06
"Rx OUD by MOUD[Bup]",0,0,0,0,1800.54,5324.54,12513,24597.2,37605.1,56793.4,71023.7,86520.8,100651,106616,111332,116757,122135,123401,131987,141179,143320,145004,144944,148112,154439,161661,169312,166884,158757,150468,142898,136148,130212,125087
"Rx OUD by MOUD[MMT]",5089.71,5489.72,7827.36,10012.6,10959.5,12397.6,12839,14578.8,15544,16429,17667.3,18735.4,18919.7,17612.6,17021.8,16372.2,15647.3,13823.7,13718.5,13247.4,12880.7,9603.84,10244.7,11460.7,12705.6,13878.9,14938,15769.1,16254.7,16553.1,16774.6,16980.3,16858.4,16399.1
"Rx OUD by MOUD[Viv]",0,0,0,0,0,0,0,0,0,0,0,227.84,822.842,1542.7,2381.4,3292.54,5072.84,8565.58,11552.4,12928.2,13318.1,11702.3,12288.5,13234.4,14138.2,14947.6,15649.5,16100.3,16334.9,16506.1,16652.5,16796.4,16898.2,16953.1
"Rx OUD no heroin by MOUD[Bup]",0,0,0,0,1694.05,4998.37,11727.3,23008.2,34964.7,52489.8,65330.3,79029.4,91213.2,97920.9,101861,105701,110013,112073,121790,132756,136996,140214,141203,145070,151844,159361,167208,165026,157144,149052,141639,135015,129184,124146
