"Time",1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
"Bup providers",0,0,0,0,1893,3256,5484,8555.5,10637,14365.3,15817.5,18023.5,20148,22198,23629,25738,28930.5,32123,42037,57426.5,66800,94223,111716,127792,142971,155585,165674,171804,176115,179084,181100,182456,183361,183963
"Cumulative nonfatal overdoses",0,331370,704141,1.1168E+06,1.57098E+06,2.06836E+06,2.60885E+06,3.1911E+06,3.81591E+06,4.48641E+06,5.20162E+06,5.95983E+06,6.75743E+06,7.5829E+06,8.42933E+06,9.28924E+06,1.01583E+07,1.10385E+07,1.19307E+07,1.28178E+07,1.36859E+07,1.45373E+07,1.53697E+07,1.61636E+07,1.69153E+07,1.76229E+07,1.82864E+07,1.89119E+07,1.95065E+07,2.0073E+07,2.06133E+07,2.11292E+07,2.16228E+07,2.20969E+07
"Cumulative overdose deaths",0,10350.3,21796.8,34265.1,47823.7,62529.7,78354.9,95315.2,113558,133105,153786,175631,198532,222261,246618,271938,299455,332055,373400,422737,476507,535336,598511,662007,724776,785864,844593,901106,955758,1.00849E+06,1.05925E+06,1.10801E+06,1.15483E+06,1.19994E+06
"Cumulative UD person years",0,1.50164E+06,3.19272E+06,5.06197E+06,7.10986E+06,9.34404E+06,1.17681E+07,1.43828E+07,1.71967E+07,2.02256E+07,2.3474E+07,2.69371E+07,3.06073E+07,3.44598E+07,3.84595E+07,4.25659E+07,4.67442E+07,5.09622E+07,5.51822E+07,5.9347E+07,6.34169E+07,6.73754E+07,7.1213E+07,7.49015E+07,7.84304E+07,8.17958E+07,8.49992E+07,8.8051E+07,9.0965E+07,9.37512E+07,9.64182E+07,9.89739E+07,1.01426E+08,1.03785E+08
"HUD by MOUD[Bup]",0,0,0,0,3758.86,10476,23532.2,44484,64960.7,94766.2,116934,143108,170825,205564,235694,268431,307322,347742,409960,469739,504417,543482,564316,576448,588516,598488,601169,574380,543870,515061,487868,462024,437739,417889
"HUD by MOUD[MMT]",183230,135009,153593,173117,174911,184155,180667,196008,199409,202850,213400,225738,231706,237428,252445,264284,275877,269850,297665,310141,321027,251459,284172,322134,354391,380006,399247,413231,423162,430028,434666,437726,436635,424868
"HUD by MOUD[Viv]",0,0,0,0,0,0,0,0,0,0,0,121.178,456.014,998.988,1669.72,2504.66,4248.28,8104.11,11873.7,14139.7,15356.4,14459.6,15485.1,16518.4,17323.2,17891.5,18257.9,18625.4,18922.6,19112.8,19210.6,19230,19197.4,19196.8
"HUD in remission",199161,146849,124566,117860,118010,121346,126940,135467,146451,158777,173163,189375,207233,230238,255005,279986,305768,332673,362171,393141,418691,433551,441556,450304,457026,460915,462010,458460,450463,440002,428326,416101,403634,390566
"HUD in stable remission",225182,240841,252580,262786,272609,282521,292814,303708,315535,328432,342588,358180,375379,394483,415899,439680,465839,494488,525719,559846,596636,635279,674638,714552,754945,795549,836080,876178,915347,953237,989675,1.02458E+06,1.05794E+06,1.08971E+06
"HUD no MOUD",447089,565480,594191,614930,648907,672412,712413,730038,760366,793591,843290,894656,985032,1.13103E+06,1.21883E+06,1.30269E+06,1.39044E+06,1.49289E+06,1.50624E+06,1.49157E+06,1.46416E+06,1.48485E+06,1.39714E+06,1.29341E+06,1.18429E+06,1.07802E+06,982759,923200,873858,827833,784152,742481,705343,676822
"Nondisordered heroin use",428255,375937,354503,365564,386695,400977,435821,471586,493864,530034,579659,618764,666334,731517,755971,750289,746356,750734,733687,689013,629564,566990,506947,453338,407742,370167,339710,315298,295932,280670,268699,259342,252049,246394
"Rx misuse no PY heroin",6.41519E+06,7.33092E+06,8.12699E+06,8.76885E+06,9.20415E+06,9.49036E+06,9.60903E+06,9.63718E+06,9.64767E+06,9.62209E+06,9.52186E+06,9.35582E+06,9.10553E+06,8.73673E+06,8.29675E+06,7.8194E+06,7.34096E+06,6.86541E+06,6.3435E+06,5.71021E+06,5.0134E+06,4.37172E+06,3.81961E+06,3.33644E+06,2.92353E+06,2.58486E+06,2.32075E+06,2.12449E+06,1.98616E+06,1.89654E+06,1.84699E+06,1.83004E+06,1.83949E+06,1.86999E+06
"Rx OUD by MOUD[Bup]",0,0,0,0,1800.54,5324.54,12513,24597.2,37605.1,56793.4,71023.7,86520.8,100651,106616,111332,116757,122135,123401,131987,141179,143320,145004,144944,148112,153279,159038,163434,157869,149660,141789,134675,128341,122755,117921
"Rx OUD by MOUD[MMT]",5089.71,5489.72,7827.36,10012.6,10959.5,12397.6,12839,14578.8,15544,16429,17667.3,18735.4,18919.7,17612.6,17021.8,16372.2,15647.3,13823.7,13718.5,13247.4,12880.7,9603.84,10244.7,11460.7,12695.8,13843.6,14858.3,15583.1,16016.7,16299.2,16518.3,16726,16828.6,16485.7
"Rx OUD by MOUD[Viv]",0,0,0,0,0,0,0,0,0,0,0,227.84,822.842,1542.7,2381.4,3292.54,5072.84,8565.58,11552.4,12928.2,13318.1,11702.3,12288.5,13234.4,14125.2,14914.5,15577.1,15957.7,16188.2,16362,16511.7,16658.9,16802.8,16877.4
"Rx OUD no heroin by MOUD[Bup]",0,0,0,0,1694.05,4998.37,11727.3,23008.2,34964.7,52489.8,65330.3,79029.4,91213.2,97920.9,101861,105701,110013,112073,121790,132756,136996,140214,141203,145070,150705,156780,161408,156116,148144,140459,133493,127277,121790,117038
"Rx OUD no heroin by MOUD[MMT]",4478.95,5055.85,7312.45,9384.58,10298.5,11642.7,12040.5,13649.4,14483.3,15221.2,16284.4,17158.3,17195.9,16132.1,15579.3,14867.5,14126,12530.5,12596.1,12369.7,12229.4,9214.7,9939.52,11198.9,12463.7,13633.1,14663.9,15402.5,15848.8,16141.8,16369.6,16584.3,16693.7,16360
"Rx OUD no heroin by MOUD[Viv]",0,0,0,0,0,0,0,0,0,0,0,207.448,744.433,1422.1,2172.03,2968.9,4568.53,7814.42,10729.7,12241.6,12803.9,11358.2,12002.4,12986.5,13906.2,14716.3,15394.4,15788.8,16030.6,16213.6,16370.8,16524.2,16673.7,16753.9
"Rx OUD no heroin in remission",581928,531667,498017,478754,471650,475029,487410,507497,534745,568621,607803,649532,692084,731993,765777,792012,811111,824081,832569,837779,838543,834002,824589,812698,799057,784054,768029,750376,730558,709130,686832,664312,642101,620553
"Rx OUD no heroin in stable remission",657959,709369,756032,799571,841376,882620,924309,967289,1.01231E+06,1.06007E+06,1.11116E+06,1.16597E+06,1.22465E+06,1.28709E+06,1.35282E+06,1.42109E+06,1.49111E+06,1.56221E+06,1.63379E+06,1.70549E+06,1.77692E+06,1.84758E+06,1.91693E+06,1.9846E+06,2.05041E+06,2.1142E+06,2.17586E+06,2.23531E+06,2.29235E+06,2.34679E+06,2.39855E+06,2.44757E+06,2.49389E+06,2.53758E+06
"Rx OUD no PY heroin no MOUD",754697,876774,999422,1.13292E+06,1.26738E+06,1.40246E+06,1.5296E+06,1.64745E+06,1.77266E+06,1.89348E+06,2.00207E+06,2.08748E+06,2.14572E+06,2.1585E+06,2.12786E+06,2.07081E+06,2.0011E+06,1.92713E+06,1.84169E+06,1.74865E+06,1.65514E+06,1.56781E+06,1.48131E+06,1.39259E+06,1.30343E+06,1.21616E+06,1.13393E+06,1.06711E+06,1.00952E+06,958192,912441,871925,836487,806237
"Rx OUD with heroin by MOUD[Bup]",0,0,0,0,106.484,326.172,785.746,1588.97,2640.47,4303.6,5693.47,7491.41,9437.36,8695.43,9470.73,11055.6,12121.5,11327.7,10196.5,8422.61,6324.13,4789.83,3740.88,3042.11,2573.93,2258.44,2026.16,1753.08,1515.93,1329.77,1182.82,1063.89,965.2,882.223
"Rx OUD with heroin by MOUD[MMT]",610.765,433.869,514.914,628.071,661.005,754.882,798.533,929.355,1060.72,1207.81,1382.9,1577.14,1723.8,1480.54,1442.49,1504.71,1521.22,1293.15,1122.43,877.657,651.303,389.146,305.189,261.85,232.149,210.526,194.457,180.543,167.972,157.364,148.689,141.64,134.911,125.685
"Rx OUD with heroin by MOUD[Viv]",0,0,0,0,0,0,0,0,0,0,0,20.392,78.4085,120.598,209.374,323.636,504.311,751.159,822.711,686.608,514.168,344.086,286.127,247.825,218.988,198.18,182.666,168.914,157.534,148.406,140.934,134.643,129.076,123.53
