Time,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
Bup providers,0,0,0,0,1893,3256,5484,8555.5,10637,14365.3,15817.5,18023.5,20148,22198,23629,25738,28930.5,32123,42037,57426.5,66800,94223,111716,127792,141462,152335,160536,166476,170654,173531,175485,176798,177675,178259
Cumulative nonfatal overdoses,0,331370,704141,1.1168E+06,1.57098E+06,2.06836E+06,2.60885E+06,3.1911E+06,3.81591E+06,4.48641E+06,5.20162E+06,5.95983E+06,6.75743E+06,7.5829E+06,8.42933E+06,9.28924E+06,1.01583E+07,1.10385E+07,1.19307E+07,1.28178E+07,1.36859E+07,1.45373E+07,1.53697E+07,1.61636E+07,1.69159E+07,1.76261E+07,1.82946E+07,1.89223E+07,1.95123E+07,2.00724E+07,2.06063E+07,2.11161E+07,2.16043E+07,2.20741E+07
Cumulative overdose deaths,0,10350.3,21796.8,34265.1,47823.7,62529.7,78354.9,95315.2,113558,133105,153786,175631,198532,222261,246618,271938,299455,332055,373400,422737,476507,535336,598511,662007,724841,786219,845501,902225,956288,1.00826E+06,1.05826E+06,1.10631E+06,1.15254E+06,1.19718E+06
Cumulative UD person years,0,1.50164E+06,3.19272E+06,5.06197E+06,7.10986E+06,9.34404E+06,1.17681E+07,1.43828E+07,1.71967E+07,2.02256E+07,2.3474E+07,2.69371E+07,3.06073E+07,3.44598E+07,3.84595E+07,4.25659E+07,4.67442E+07,5.09622E+07,5.51822E+07,5.9347E+07,6.34169E+07,6.73754E+07,7.1213E+07,7.49015E+07,7.84305E+07,8.17981E+07,8.50075E+07,8.80644E+07,9.09768E+07,9.37583E+07,9.64197E+07,9.89699E+07,1.01418E+08,1.03773E+08
HUD by MOUD[Bup],0,0,0,0,3758.86,10476,23532.2,44484,64960.7,94766.2,116934,143108,170825,205564,235694,268431,307322,347742,409960,469739,504417,543482,564316,576448,583261,587463,590091,593042,573601,543719,514970,487786,463764,444265
HUD by MOUD[MMT],183230,135009,153593,173117,174911,184155,180667,196008,199409,202850,213400,225738,231706,237428,252445,264284,275877,269850,297665,310141,321027,251459,284172,322134,354406,380073,399386,413282,422994,429756,434362,437397,430597,417107
HUD by MOUD[Viv],0,0,0,0,0,0,0,0,0,0,0,121.178,456.014,998.988,1669.72,2504.66,4248.28,8104.11,11873.7,14139.7,15356.4,14459.6,15485.1,16518.4,17345.5,17957.4,18364,18580.3,18750.2,18932.7,19035.1,19059.9,19079.8,19102.9
HUD in remission,199161,146849,124566,117860,118010,121346,126940,135467,146451,158777,173163,189375,207233,230238,255005,279986,305768,332673,362171,393141,418691,433551,441556,450304,455828,456967,454968,451763,447100,438661,427939,416177,403702,390483
HUD in stable remission,225182,240841,252580,262786,272609,282521,292814,303708,315535,328432,342588,358180,375379,394483,415899,439680,465839,494488,525719,559846,596636,635279,674638,714552,754907,795265,835242,874597,913258,950932,987303,1.02222E+06,1.0556E+06,1.08739E+06
HUD no MOUD,447089,565480,594191,614930,648907,672412,712413,730038,760366,793591,843290,894656,985032,1.13103E+06,1.21883E+06,1.30269E+06,1.39044E+06,1.49289E+06,1.50624E+06,1.49157E+06,1.46416E+06,1.48485E+06,1.39714E+06,1.29341E+06,1.1907E+06,1.09288E+06,1.00081E+06,912052,849688,803678,761317,721140,689860,663188
Nondisordered heroin use,428255,375937,354503,365564,386695,400977,435821,471586,493864,530034,579659,618764,666334,731517,755971,750289,746356,750734,733687,689013,629564,566990,506947,453338,407738,370156,339709,315266,295819,280504,268519,259178,251928,246330
Rx misuse no PY heroin,6.41519E+06,7.33092E+06,8.12699E+06,8.76885E+06,9.20415E+06,9.49036E+06,9.60903E+06,9.63718E+06,9.64767E+06,9.62209E+06,9.52186E+06,9.35582E+06,9.10553E+06,8.73673E+06,8.29675E+06,7.8194E+06,7.34096E+06,6.86541E+06,6.3435E+06,5.71021E+06,5.0134E+06,4.37172E+06,3.81961E+06,3.33644E+06,2.92319E+06,2.58313E+06,2.31663E+06,2.11925E+06,1.98245E+06,1.89471E+06,1.84674E+06,1.83101E+06,1.84123E+06,1.87212E+06
Rx OUD by MOUD[Bup],0,0,0,0,1800.54,5324.54,12513,24597.2,37605.1,56793.4,71023.7,86520.8,100651,106616,111332,116757,122135,123401,131987,141179,143320,145004,144944,148112,151636,155112,158575,162656,160070,152591,145020,138150,132097,126869
Rx OUD by MOUD[MMT],5089.71,5489.72,7827.36,10012.6,10959.5,12397.6,12839,14578.8,15544,16429,17667.3,18735.4,18919.7,17612.6,17021.8,16372.2,15647.3,13823.7,13718.5,13247.4,12880.7,9603.84,10244.7,11460.7,12679.9,13776.3,14718.6,15532.2,16184.6,16570.5,16822.5,17036,16869.6,16393.6
Rx OUD by MOUD[Viv],0,0,0,0,0,0,0,0,0,0,0,227.84,822.842,1542.7,2381.4,3292.54,5072.84,8565.58,11552.4,12928.2,13318.1,11702.3,12288.5,13234.4,14102.9,14848.6,15471.1,16002.9,16360.6,16542.1,16687.3,16829,16920.4,16971.3
Rx OUD no heroin by MOUD[Bup],0,0,0,0,1694.05,4998.37,11727.3,23008.2,34964.7,52489.8,65330.3,79029.4,91213.2,97920.9,101861,105701,110013,112073,121790,132756,136996,140214,141203,145070,149084,152901,156601,160847,158446,151157,143744,137003,131055,125917
Rx OUD no heroin by MOUD[MMT],4478.95,5055.85,7312.45,9384.58,10298.5,11642.7,12040.5,13649.4,14483.3,15221.2,16284.4,17158.3,17195.9,16132.1,15579.3,14867.5,14126,12530.5,12596.1,12369.7,12229.4,9214.7,9939.52,11198.9,12448,13566.9,14526.2,15352.7,16015.5,16411,16671.5,16892,16734.4,16268.5
Rx OUD no heroin by MOUD[Viv],0,0,0,0,0,0,0,0,0,0,0,207.448,744.433,1422.1,2172.03,2968.9,4568.53,7814.42,10729.7,12241.6,12803.9,11358.2,12002.4,12986.5,13884.4,14651.6,15290.1,15834,16201.8,16392.5,16545.1,16693.1,16790.4,16847
Rx OUD no heroin in remission,581928,531667,498017,478754,471650,475029,487410,507497,534745,568621,607803,649532,692084,731993,765777,792012,811111,824081,832569,837779,838543,834002,824589,812698,798689,782565,764850,746395,727579,707439,686212,664520,642908,621763
Rx OUD no heroin in stable remission,657959,709369,756032,799571,841376,882620,924309,967289,1.01231E+06,1.06007E+06,1.11116E+06,1.16597E+06,1.22465E+06,1.28709E+06,1.35282E+06,1.42109E+06,1.49111E+06,1.56221E+06,1.63379E+06,1.70549E+06,1.77692E+06,1.84758E+06,1.91693E+06,1.9846E+06,2.0504E+06,2.1141E+06,2.17554E+06,2.23461E+06,2.29128E+06,2.3455E+06,2.39714E+06,2.44615E+06,2.49254E+06,2.53634E+06
